year,month,decimal,average,average_unc,trend,trend_unc
2009,9,2009.708,1794.81,1.31,1794.62,0.68
2009,10,2009.792,1798.05,1.59,1794.94,0.67
2009,11,2009.875,1797.89,0.96,1795.26,0.65
2009,12,2009.958,1796.70,0.84,1795.60,0.63
2010,1,2010.042,1797.14,1.17,1795.95,0.60
2010,2,2010.125,1798.75,1.37,1796.30,0.57
2010,3,2010.208,1799.46,1.23,1796.67,0.55
2010,4,2010.292,1799.67,0.99,1797.08,0.55
2010,5,2010.375,1797.71,1.30,1797.50,0.56
2010,6,2010.458,1792.54,1.40,1797.94,0.58
2010,7,2010.542,1789.48,1.04,1798.38,0.61
2010,8,2010.625,1794.09,1.01,1798.84,0.63
2010,9,2010.708,1801.84,1.01,1799.30,0.66
2010,10,2010.792,1806.58,1.10,1799.76,0.67
2010,11,2010.875,1806.99,1.15,1800.21,0.68
2010,12,2010.958,1803.32,0.96,1800.65,0.67
2011,1,2011.042,1800.07,0.93,1801.10,0.65
2011,2,2011.125,1799.99,0.84,1801.52,0.63
2011,3,2011.208,1800.98,0.67,1801.93,0.61
2011,4,2011.292,1802.92,0.87,1802.34,0.59
2011,5,2011.375,1803.30,1.01,1802.76,0.58
2011,6,2011.458,1799.15,0.76,1803.17,0.58
2011,7,2011.542,1796.21,0.95,1803.58,0.58
2011,8,2011.625,1799.04,1.03,1803.99,0.60
2011,9,2011.708,1804.06,1.57,1804.41,0.62
2011,10,2011.792,1809.60,1.60,1804.82,0.64
2011,11,2011.875,1812.38,1.25,1805.24,0.65
2011,12,2011.958,1810.05,1.14,1805.67,0.67
2012,1,2012.042,1807.41,0.89,1806.11,0.67
2012,2,2012.125,1808.35,1.18,1806.54,0.68
2012,3,2012.208,1810.07,0.87,1806.98,0.67
2012,4,2012.292,1808.51,0.62,1807.42,0.66
2012,5,2012.375,1804.75,1.38,1807.86,0.65
2012,6,2012.458,1801.00,1.31,1808.30,0.64
2012,7,2012.542,1799.39,1.13,1808.73,0.62
2012,8,2012.625,1803.29,1.13,1809.16,0.60
2012,9,2012.708,1810.16,1.28,1809.57,0.59
2012,10,2012.792,1814.85,0.98,1809.96,0.57
2012,11,2012.875,1815.94,1.17,1810.33,0.56
2012,12,2012.958,1814.59,0.87,1810.69,0.56
2013,1,2013.042,1814.07,0.90,1811.03,0.56
2013,2,2013.125,1814.12,1.42,1811.35,0.56
2013,3,2013.208,1813.26,1.15,1811.66,0.57
2013,4,2013.292,1812.85,0.75,1811.99,0.57
2013,5,2013.375,1811.94,0.85,1812.33,0.58
2013,6,2013.458,1808.55,1.17,1812.70,0.58
2013,7,2013.542,1805.78,1.51,1813.11,0.58
2013,8,2013.625,1808.39,1.13,1813.57,0.58
2013,9,2013.708,1814.32,0.89,1814.09,0.57
2013,10,2013.792,1818.60,0.63,1814.68,0.57
2013,11,2013.875,1820.34,0.70,1815.35,0.57
2013,12,2013.958,1819.33,0.87,1816.11,0.57
2014,1,2014.042,1816.85,0.97,1816.95,0.57
2014,2,2014.125,1816.38,1.03,1817.84,0.58
2014,3,2014.208,1818.14,1.05,1818.79,0.58
2014,4,2014.292,1820.92,0.82,1819.83,0.58
2014,5,2014.375,1821.90,0.94,1820.92,0.58
2014,6,2014.458,1818.32,0.91,1822.05,0.59
2014,7,2014.542,1815.55,1.15,1823.19,0.58
2014,8,2014.625,1819.72,1.23,1824.36,0.57
2014,9,2014.708,1826.87,1.07,1825.50,0.56
2014,10,2014.792,1831.24,0.62,1826.61,0.55
2014,11,2014.875,1833.05,0.59,1827.70,0.54
2014,12,2014.958,1833.53,0.85,1828.74,0.52
2015,1,2015.042,1833.02,0.93,1829.77,0.50
2015,2,2015.125,1832.88,0.82,1830.70,0.49
2015,3,2015.208,1833.15,0.67,1831.60,0.47
2015,4,2015.292,1833.15,1.10,1832.49,0.46
2015,5,2015.375,1831.62,1.06,1833.36,0.45
2015,6,2015.458,1827.21,0.85,1834.20,0.45
2015,7,2015.542,1824.73,0.99,1835.01,0.46
2015,8,2015.625,1829.13,1.05,1835.83,0.47
2015,9,2015.708,1836.21,1.05,1836.62,0.49
2015,10,2015.792,1841.46,0.99,1837.39,0.52
2015,11,2015.875,1844.71,1.17,1838.16,0.54
2015,12,2015.958,1844.90,1.12,1838.91,0.57
2016,1,2016.042,1842.46,0.96,1839.65,0.60
2016,2,2016.125,1841.62,1.23,1840.35,0.62
2016,3,2016.208,1843.01,0.93,1841.03,0.64
2016,4,2016.292,1843.77,0.71,1841.70,0.66
2016,5,2016.375,1842.11,0.97,1842.34,0.66
2016,6,2016.458,1837.82,1.25,1842.95,0.67
2016,7,2016.542,1834.18,1.17,1843.53,0.67
2016,8,2016.625,1836.69,1.21,1844.09,0.66
